start_station,end_station,count,start_lat,start_lon,end_lat,end_lon
Market at 10th,Civic Center BART (7th at Market),390,37.776619,-122.417385,37.781039,-122.411748
Civic Center BART (7th at Market),Civic Center BART (7th at Market),111,37.781039,-122.411748,37.781039,-122.411748
Cyril Magnin St at Ellis St,Civic Center BART (7th at Market),2,37.785908,-122.408891,37.781039,-122.411748
Powell at Post (Union Square),Civic Center BART (7th at Market),54,37.788446,-122.408499,37.781039,-122.411748
Powell Street BART,Civic Center BART (7th at Market),178,37.783871,-122.408433,37.781039,-122.411748
Grant Avenue at Columbus Avenue,Civic Center BART (7th at Market),105,37.7979,-122.405942,37.781039,-122.411748
5th at Howard,Civic Center BART (7th at Market),70,37.781752,-122.405127,37.781039,-122.411748
Market at 4th,Civic Center BART (7th at Market),276,37.786305,-122.404966,37.781039,-122.411748
Washington at Kearny,Civic Center BART (7th at Market),62,37.795425,-122.404767,37.781039,-122.411748
Post at Kearny,Civic Center BART (7th at Market),56,37.788975,-122.403452,37.781039,-122.411748
Embarcadero at Sansome,Civic Center BART (7th at Market),104,37.80477,-122.403234,37.781039,-122.411748
5th St at Folsom St,Civic Center BART (7th at Market),4,37.780148,-122.403158,37.781039,-122.411748
Commercial at Montgomery,Civic Center BART (7th at Market),42,37.794231,-122.402923,37.781039,-122.411748
Townsend at 7th,Civic Center BART (7th at Market),1073,37.771058,-122.402717,37.781039,-122.411748
Yerba Buena Center of the Arts (3rd @ Howard),Civic Center BART (7th at Market),40,37.784878,-122.401014,37.781039,-122.411748
Broadway St at Battery St,Civic Center BART (7th at Market),43,37.798541,-122.400862,37.781039,-122.411748
Market at Sansome,Civic Center BART (7th at Market),124,37.789625,-122.400811,37.781039,-122.411748
Clay at Battery,Civic Center BART (7th at Market),51,37.795001,-122.39997,37.781039,-122.411748
Mechanics Plaza (Market at Battery),Civic Center BART (7th at Market),148,37.7913,-122.399051,37.781039,-122.411748
Embarcadero at Vallejo,Civic Center BART (7th at Market),18,37.799953,-122.398525,37.781039,-122.411748
Davis at Jackson,Civic Center BART (7th at Market),48,37.79728,-122.398436,37.781039,-122.411748
Howard at 2nd,Civic Center BART (7th at Market),49,37.786978,-122.398108,37.781039,-122.411748
Beale at Market,Civic Center BART (7th at Market),48,37.792251,-122.397086,37.781039,-122.411748
2nd at Folsom,Civic Center BART (7th at Market),84,37.785299,-122.396236,37.781039,-122.411748
San Francisco Caltrain 2 (330 Townsend),Civic Center BART (7th at Market),254,37.7766,-122.39547,37.781039,-122.411748
San Francisco Caltrain (Townsend at 4th),Civic Center BART (7th at Market),292,37.776617,-122.39526,37.781039,-122.411748
Temporary Transbay Terminal (Howard at Beale),Civic Center BART (7th at Market),239,37.789756,-122.394643,37.781039,-122.411748
Steuart at Market,Civic Center BART (7th at Market),84,37.794139,-122.394434,37.781039,-122.411748
Harry Bridges Plaza (Ferry Building),Civic Center BART (7th at Market),52,37.795392,-122.394203,37.781039,-122.411748
2nd at South Park,Civic Center BART (7th at Market),47,37.782259,-122.392738,37.781039,-122.411748
Embarcadero at Folsom,Civic Center BART (7th at Market),73,37.791464,-122.391034,37.781039,-122.411748
Spear at Folsom,Civic Center BART (7th at Market),58,37.790302,-122.390637,37.781039,-122.411748
2nd at Townsend,Civic Center BART (7th at Market),49,37.780526,-122.390288,37.781039,-122.411748
Embarcadero at Bryant,Civic Center BART (7th at Market),52,37.787152,-122.388013,37.781039,-122.411748
South Van Ness at Market,Cyril Magnin St at Ellis St,1,37.774814,-122.418954,37.785908,-122.408891
Golden Gate at Polk,Cyril Magnin St at Ellis St,2,37.781332,-122.418603,37.785908,-122.408891
Market at 10th,Cyril Magnin St at Ellis St,9,37.776619,-122.417385,37.785908,-122.408891
Civic Center BART (7th at Market),Cyril Magnin St at Ellis St,1,37.781039,-122.411748,37.785908,-122.408891
Cyril Magnin St at Ellis St,Cyril Magnin St at Ellis St,10,37.785908,-122.408891,37.785908,-122.408891
Powell at Post (Union Square),Cyril Magnin St at Ellis St,2,37.788446,-122.408499,37.785908,-122.408891
Powell Street BART,Cyril Magnin St at Ellis St,4,37.783871,-122.408433,37.785908,-122.408891
Market at 4th,Cyril Magnin St at Ellis St,1,37.786305,-122.404966,37.785908,-122.408891
Washington at Kearny,Cyril Magnin St at Ellis St,4,37.795425,-122.404767,37.785908,-122.408891
Post at Kearny,Cyril Magnin St at Ellis St,1,37.788975,-122.403452,37.785908,-122.408891
Embarcadero at Sansome,Cyril Magnin St at Ellis St,6,37.80477,-122.403234,37.785908,-122.408891
Commercial at Montgomery,Cyril Magnin St at Ellis St,2,37.794231,-122.402923,37.785908,-122.408891
Townsend at 7th,Cyril Magnin St at Ellis St,2,37.771058,-122.402717,37.785908,-122.408891
Yerba Buena Center of the Arts (3rd @ Howard),Cyril Magnin St at Ellis St,1,37.784878,-122.401014,37.785908,-122.408891
Embarcadero at Vallejo,Cyril Magnin St at Ellis St,3,37.799953,-122.398525,37.785908,-122.408891
2nd at Folsom,Cyril Magnin St at Ellis St,1,37.785299,-122.396236,37.785908,-122.408891
San Francisco Caltrain 2 (330 Townsend),Cyril Magnin St at Ellis St,5,37.7766,-122.39547,37.785908,-122.408891
San Francisco Caltrain (Townsend at 4th),Cyril Magnin St at Ellis St,6,37.776617,-122.39526,37.785908,-122.408891
Temporary Transbay Terminal (Howard at Beale),Cyril Magnin St at Ellis St,1,37.789756,-122.394643,37.785908,-122.408891
Steuart at Market,Cyril Magnin St at Ellis St,1,37.794139,-122.394434,37.785908,-122.408891
Harry Bridges Plaza (Ferry Building),Cyril Magnin St at Ellis St,2,37.795392,-122.394203,37.785908,-122.408891
Embarcadero at Folsom,Cyril Magnin St at Ellis St,1,37.791464,-122.391034,37.785908,-122.408891
Spear at Folsom,Cyril Magnin St at Ellis St,1,37.790302,-122.390637,37.785908,-122.408891
